n,kappa,true_power,mean_equal_tail,median_equal_tail,left_tail_expected,mean_expected,median_expected,ratio_expected,left_tail_median,mean_median,median_median,left_tail_median_mc,mean_median_mc,median_median_mc,median_gain_vs_equal_tail_pct,median_gain_vs_expected_pct,median_gain_mc_vs_expected_pct,left_tail_shift_pct_points,left_tail_shift_mc_pct_points
8,0.25,0.15762745900525088,0.19610752552875602,0.1702552614549967,0.01036527571383105,0.19003919825320817,0.16436400993527234,1.1562093084005853,0.009933564742636845,0.19004633273666102,0.16435754889519638,0.009916331359186894,0.19004691921192082,0.16435755929389062,3.4640412927028685,0.0039309335897196205,0.003924606964904908,0.0431710971194205,0.04489443546441558
8,0.5,0.3567421018365684,0.4791688847043523,0.482812942810409,0.016760428091537997,0.4757631468145437,0.4753818148286776,1.000802159388456,0.011956211210445787,0.4771370225809221,0.4742389841332112,0.012916728488550447,0.476621674025211,0.47430257754425353,1.7758344727234483,0.24040269522683655,0.227025361669124,0.480421688109221,0.384369960298755
8,0.75,0.6050340253632658,0.5953412569371365,0.6255609630501493,0.034700836755478866,0.590388963651617,0.6223595369928498,0.9486300579634241,0.03255639741823792,0.5906500250194813,0.6221203894531231,0.03015078021917661,0.5915260845957004,0.6225678285340188,0.5499981297187159,0.03842594601864451,-0.03346804038312071,0.21444393372409484,0.4550056536302256
8,1.0,0.81501943423648,0.5590032194027689,0.6109039809276602,0.04796677247376647,0.5188816711435617,0.5641550687101045,0.9197500827741266,0.04999954378826583,0.5249695825443912,0.560745478016862,0.04994067794749892,0.5226840600296722,0.5608281139664897,8.210537903948875,0.604371188410694,0.589723451607302,-0.20327713144993598,-0.1973905473732454
8,1.25,0.9361656740321997,0.46124983149004195,0.4992591957261736,0.049937448030363485,0.39277296296228026,0.4142127407471544,0.9482396950267603,0.04999954378826583,0.3929094665892752,0.41404698419149,0.04994067794749892,0.3927730675134402,0.41420411490174014,17.067730001596114,0.04001725185116942,0.002082467429350246,-0.006209575790234317,-0.00032299171354374656
16,0.25,0.24518318522453564,0.22920145582690166,0.21799491892451306,0.015102442481057918,0.2260565086601152,0.21449771061361034,1.0538877455308906,0.01441286655413874,0.22607387198470186,0.2144809434964483,0.014410571753093128,0.22607398866939707,0.2144809436938333,1.6119529048663592,0.007816921268793735,0.00781682924683384,0.06895759269191781,0.06918707279647898
16,0.5,0.6040328683316012,0.46112868889230146,0.47643949186378287,0.030072650988224824,0.45983200442944266,0.4752700880152758,0.9675172413010411,0.029704045457770237,0.45983902056001696,0.47524550461201265,0.031227161648024637,0.4599018318318027,0.47539130483604997,0.25060627260336177,0.0051725121952925016,-0.025504828481916653,0.03686055304545875,-0.1154510659799813
16,0.75,0.8879564175026065,0.3677346693291102,0.3919972421942405,0.04813888716553927,0.33442764609093617,0.3485675621934444,0.9594342169606103,0.04982521157860069,0.33631663796817457,0.34722442923168717,0.04984470903060967,0.3364233182289703,0.34722522271191725,11.421716314108076,0.38532930411116567,0.38510166381524036,-0.16863244130614213,-0.17058218650704005
16,1.0,0.9848476650472565,0.19636037547760707,0.1902451853831938,0.04999040501405167,0.15513711934670954,0.14240405999061934,1.0894150023315976,0.04999954378826583,0.15514518946818406,0.1423916397890218,0.04994067794749892,0.15516308465531442,0.14247168515395758,25.153617158712787,0.008721803014849153,-0.04748822705104203,-0.0009138774214156875,0.004972706655274883
16,1.25,0.9990799028930891,0.08434595970587441,0.06615550044504892,0.04999954378826583,0.05843368242812846,0.04038423953383019,1.4469427455524602,0.04999954378826583,0.05843368242812846,0.04038423953383019,0.04994067794749892,0.058473609111063744,0.040422796249304005,38.955583039728104,0.0,-0.09547466021123159,0.0,0.005886584076690571
25,0.25,0.3335642732684936,0.2536384000507637,0.2492904717330069,0.018396509721893058,0.2521235880387165,0.24745639211300963,1.0188606804045515,0.01768786274125192,0.2521420753831485,0.24743809098136493,0.017682263394595096,0.25214237010031865,0.2474380920753947,0.743061192337058,0.007395699698206074,0.007395257588084635,0.0708646980641138,0.07142463272979613
25,0.5,0.783386113914673,0.3625093254996161,0.38323549871779194,0.03916270394150648,0.3532886110325635,0.3741467426736661,0.9442514680415238,0.03965843194564444,0.35330353003284315,0.3741284576765921,0.03968843063112555,0.3533054087777469,0.37416312513236016,2.3763563322473233,0.00488711914030007,-0.00437861855404501,-0.049572800413796164,-0.05257266896190743
25,0.75,0.9770584405270561,0.15960583432308895,0.15511515049724867,0.04984082379401683,0.1319390984253162,0.12295277711657682,1.073087583050028,0.04999960180871227,0.13211386253241747,0.12282698277830095,0.04994067794749892,0.13196414049299102,0.1228831213116851,20.815611895706102,0.10231109961558099,0.056652486039959045,-0.015877801469543762,-0.009985415348209153
25,1.0,0.9993323183896943,0.04018407576551889,0.02907958638060637,0.04999954378826583,0.027869327096715163,0.018082214060944124,1.541256341882949,0.04999954378826583,0.027869327096715163,0.018082214060944124,0.04994067794749892,0.027887792345946905,0.018098550363049637,37.8181868742004,0.0,-0.09034458971923039,0.0,0.005886584076690571
25,1.25,0.9999999997947736,0.007056183433498884,0.0027345201114491458,0.04999954378826583,0.004083731157357976,0.0012284761960615898,3.3242248978451006,0.04999961215030005,0.004083726315623465,0.0012284740296816254,0.049945933280022094,0.004087531390640972,0.001230176879658984,55.07533389357295,0.00017634692241112792,-0.1384384657062592,-6.836203422094789e-06,0.005361050824373437
